country,patent,title,claim,sections
US,"5,384,849",Deblocking filtering,7,"3.14, 7.3.3, 7.4.3, 8.5 to 8.5.12, 8.7 to 8.7.2.4, Tables 8-16, 8-17"
US,"5,467,086",Motion compensated prediction,19,"0.6, 0.6.3, 6.3, 7.3.5, 7.3.5.1, 7.3.5.3, 7.4.5, 7.4.5.1, 8, 8.2.5, 8.3, 8.3.3.3, 8.4, 8.4.2, 8.4.2.1, 8.4.2.2, 8.5, 8.5.1, 8.5.2, 8.5.4, 8.5.10, Tables 7-11, 7-13"
US,"5,510,840",Picture structure flag,7,"3.53, 6.2, Fig. 6-2"
US,"5,539,466",Field/frame transform selection,1,"3.54, 6.2, 6.3, 7.4.3, 7.4.4, 8.4.1.2.1, 8.5, 8.5.1, 8.5.5, 8.5.12, Figs. 6-1, 6-2, 6-4, Tables 8-6, 8-7, 8-8"
US,"5,606,539",Decoding timing control,29,"C, C.1.1, C.1.2, C.3, C.4, D.2.1, D.2.2, Fig. C-2"
US,"5,608,697",Decoding timing control,1,"3.1, 6.1, 6.2, 7.1, C, C.3, C.4, D.2.1, D.2.2, Fig. C-2"
US,"5,654,706",Scanning pattern,1,"3.76, 3.128, 3.157, 4, 6.4, 6.4.2, 7.3.4, 7.4.2.1, 7.4.4, 7.4.5.3.1, 8, 8.5.5, 9.2, 9.2.1, 9.2.2, 9.2.3, 9.2.4, Figs. 6-8, 6-9, 8-8"
US,"5,699,476",Hierarchical picture coding types,5,"3.1, 3.8, 3.59, 3.62, 3.64, 3.66, 3.67, 3.98, 3.123, 3.124, 3.125, 6.1, 6.2, 6.3, 7.3.3.1, 7.4.1, 7.4.1.2.2, 7.4.1.2.3, 7.4.1.2.4, 7.4.1.2.5, 7.4.2.1, 7.4.2.4, 7.4.2.5, 7.4.3, 7.4.5, 8, 8.2.1, 8.2.1.3, 8.3, 8.4, 8.5, C, C.2, Fig. 6-7, Tables 7-1, 7-5, 7-10"
US,"5,740,310",Picture data reference header information,1,"3.1, 6.1, 6.2, 6.3, 7.1, 7.3.1, 7.3.3, 7.4.3, C, C.2"
US,"5,774,594","CAVLC, I_PCM mode",7,"3.39, 3.41, 3.43, 6.2, 7.3.2.1.1, 7.3.5, 7.3.5.3, 7.3.5.3.2, 7.4.2.1.1, 7.4.5, 8, 8.3, 8.3.5, 8.5.9, 8.5.10, 8.5.11, 8.5.12, 9.2, Tables 6-1, 7-11, and Annex A.2.2, A.3.1, A.3.2 "
US,"5,844,867",Decoding timing control,29,"C, C.1.1, C.1.2, C.3, C.4, D.2.1, D.2.2, Fig. C-2"
US,"5,926,225",Inter prediction,17,"7.3.2.1, 7.3.3, 7.3.3.3, 7.4.2.1, 7.4.3.3, 8, 8.2.5.3, 8.4, 8.4.1, 8.4.2, 8.5, 8.5.1, 8.5.3, 8.5.4, 8.5.10, 8.5.11, Tables 7-8, 7-9"
US,"5,930,395",Redundant picture data,1,"3.109, 3.117, 7.3.3, 7.4.3"
US,"5,933,541",Deblocking filtering,1,"0.6.3, 3.15, 3.75, 8, 8.7, 8.7.2.1, 8.7.2.2"
US,"5,987,181",Scaling and transformation,1,"7.3.2.1.1, 7.4.2.1.1, 8, 8.4, 8.4.1.2, 8.4.1.2.1, 8.4.1.2.3, Fig. 8-2"
US,"6,097,759",Scanning order and prediction,4,"3.108, 3.127, 8, 8.2.5, 8.4.2, 8.4.2.2, 8.5.1, 8.5.5, 8.5.10, C.2, Fig. 8-8"
US,"6,115,503",Deblocking filtering,1,"7.4.2.2, 8.7, 8.7.1, 8.7.2, 8.7.2.2, 8.7.2.4, A.2.1, A.2.2, A.2.3, A.2.4, A.2.5, A.2.6, A.2.7, Figs. 8-10, 8-11, 8-16, Table 8-16"
US,"6,160,849",Field/frame prediction selection,1,"3.37, 3.41, 3.50, 3.55, 6.2, 6.3, 7.3.4, 7.3.5.2, 7.4.2.1, 7.4.3, 7.4.4, 8, 8.4.2.1, Figs. 6-1, 6-2, 6-8"
US,"6,353,681",Redundant picture data,1,"3.109, 3.117, 7.3.2.2, 7.3.3, 7.4.2.2, 7.4.3"
US,"6,373,856",Picture order count,8,"3.14, 3.53, 3.75, 3.102, 3.104, 3.136, 3.138, 3.140, 7.3.3, 7.4.2.1, 7.4.3"
US,"6,408,098",Redundant picture data,1,"3.109, 3.117, 7.3.2.2, 7.3.3, 7.4.2.2, 7.4.3"
US,"6,445,739",Scaling matrix,1,"3.111, 7.3.2.1, 7.3.2.1.1, 7.4.2.1, 7.4.2.1.1, 7.4.2.2, 7.4.3, 7.4.5, 8.5, 8.5.1, 8.5.2, 8.5.3, 8.5.4, 8.5.5, 8.5.6, 8.5.7, 8.5.10, 9.2.4, A.2.5, A.2.6, A.2.7, Figs. 8-8, 8-9, Tables 7-2, 8-13, 8-14"
US,"6,501,793",Scaling matrix,1,"7.3.2.1, 7.3.2.1.1, 7.4.2.1, 7.4.2.1.1, 7.4.2.2, 8.5, 8.5.1, 8.5.2, 8.5.3, 8.5.4, 8.5.5, 8.5.6, 8.5.7 A.2.5, A.2.6, A.2.7, Figs. 8-8, 8-9, Tables 7-2, 8-13, 8-14"
US,"6,507,618",Slice group map,13,"3.14, 3.27, 3.28, 3.43, 3.69, 3.83, 3.84, 3.138, 3.140, 3.141, 7.4.2.2, Annex C, Fig. C-2"
US,"6,510,554",Redundant picture data,7,"3.1, 3.30, 3.102, 3.109, 3.117, 7.4.1.2.2, C, Figs. 7-1, C-2"
US,"6,549,724",Video usability information ,1,"3.1, 3.14, 3.32, 3.55, 7.2, 7.3.2.1.1, 7.3.3, 7.4.2.1.1, 7.4.3, Annex C, C.2.2, E, E.1.1, E.2.1, E.2.2, and Table E-6 "
US,"6,563,953",Coded block pattern,17,"7.1, 7.3.5.3, 7.3.5.3.1, 7.4.5, 9.1, 9.1.2, Tables 7-11, 7-13, 7-15, 9-4"
US,"6,571,361",NAL unit  ,19,"3.14, 3.21, 3.87, 3.88, 3.114, 3.143, 3.144, 3.149, 6.2, 7.2, 7.3.1, 7.3.2.11, 7.3.5, 7.3.5.1, 7.4.1, B"
US,"6,608,939",Coding mode information,1,"3.14, 3.15, 3.75, 6.1, 6.4.8, 6.4.8.3, 7.3.5.1, 8.3, 8.3.1, 8.3.1.1, 8.3.1.2, Fig. 8-1, Tables 6-2, 8-2"
US,"6,621,931",Redundant picture data,1,"3.109, 3.117, 7.3.2.2, 7.3.3, 7.4.2.2, 7.4.3"
US,"6,646,578",CAVLC,23,"3.128, 9.2.1, 9.2.2, 9.2.2.1, 9.2.3, Table 9-6"
US,"6,654,541",Video usability information ,1,"3.1, 3.14, 3.32, 3.55, 7.3.2.1.1, 7.3.3, 7.4.2.1.1, 7.4.3, Annex C, C.2.2, E, E.1.1, E.2.1, E.2.2, and Table E-6 "
US,"6,658,152",Coding mode information,1,"3.14, 3.15, 3.75, 6.4.8, 6.4.8.3, 7.3.5, 7.3.5.1, 7.3.5.2, 7.3.5.3, 7.3.5.3.1, 7.3.5.3.2, 8.3, 8.3.1, 8.3.1.1, 8.3.1.2, 9, 9.2, 9.3, Fig. 8-1, Tables 6-2, 8-2"
US,"6,671,456",Video usability information,2,"3.1, 3.14, 3.32, 3.39, 3.55, 7.2, 7.3.2.1.1, 7.3.3, 7.4.2.1.1, 7.4.3, Annex C, C.2.2, E, E.1.1, E.2.1, E.2.2, Table E-6 "
US,"6,680,975",Scanning pattern,56,"3.76, 6.4, 6.4.2, 7.3.4, 7.4.2.1, 7.4.4, 8, 8.5.5, 9, 9.1, 9.2, Figs. 6-8, 6-9, 8-8"
US,"6,681,048",Coding mode information,1,"3.14, 3.15, 3.75, 6.1, 6.4.8, 6.4.8.3, 8.3, 8.3.1, 8.3.1.1, 8.3.1.2, Fig. 8-1, Tables 6-2, 8-2"
US,"6,681,050",Scaling and transformation,1,"7.3.2.1.1, 7.3.2.1.1.1, 7.4.2.1.1, 7.4.2.1.1.1, 8, 8.5, 8.5.11, 8.5.12, Tables 7-2 to 7-4 "
US,"6,687,409","Scaling and transformation, Deriving motion vectors",1,"7.3.2.1.1, 7.3.2.1.1.1, 7.4.2.1.1, 8, 8.4, 8.4.1.2, 8.4.1.2.1, 8.4.1.2.3, 8.5, 8.5.11, 8.5.12, Tables 7-2 to 7-4"
US,"6,728,317",Fractional sample interpolation,2,"8.4.2.2, 8.4.2.2.1, Fig. 8-4"
US,"6,735,345",Coded block pattern,17,"7.1, 7.3.5.3.1, 7.4.5, 9.1, 9.1.2, Tables 7-11, 7-13, 7-15, 9-4"
US,"6,741,746",Frame cropping,1,"3.27, 3.50, 3.51, 3.55, 3.56, 3.76, 3.77, 3.104, 3.159, 7.3.2.1.1, 7.3.2.2, 7.3.5, 7.4.2.1.1, 7.4.2.2, 8, 9.2, Annex C, C.2, C.2.2, Fig. C-2"
US,"6,816,552",Weighted sample prediction,1,"3.8, 3.13, 3.55, 3.61, 3.66, 3.100, 3.121, 3.123, 3.124, 3.125, 3.126, 5.7, 8.2.1, 8.4.1.2.3, 8.4.2.3, 8.4.2.3.2, 8.4.3"
US,"6,825,782",CABAC,12,"9.3, 9.3.1.1, 9.3.3.1, 9.3.3.2, 9.3.3.2.1, 9.3.3.2.1.1, 9.3.3.2.4, Figs. 9-1, 9-2, 9-3, 9-6"
US,"6,850,175",CABAC,24,"7.3.2.10, 7.4.1, 7.4.2.10, 9.3, 9.3.3.2, 9.3.3.2.1, 9.3.4.6, Figs. 9-1, 9-2, 9-3"
US,"6,882,685",Scaling and transformation,15,"3.37, 3.41, 3.154, 7.3.5, 7.3.5.3, 7.4.5, 7.4.5.3, 8, 8.5, 8.5.1, 8.5.2, 8.5.7, 8.5.8, 8.5.9, 8.5.10, 9.2, 9.3, Table 7-15"
US,"6,894,628",CABAC,4,"6.4.7, 7.2, 7.3.2.2, 7.3.4, 7.3.5, 7.3.5.1, 7.3.5.2, 7.3.5.3.2, 7.4.2.2, 9.3, 9.3.1, 9.3.1.1, 9.3.3, 9.3.3.1, 9.3.3.1.1, 9.3.3.1.1.1 to 9.3.3.1.1.9, 9.3.3.1.2, 9.3.3.2, 9.3.3.2.1, 9.3.3.2.1.2, Tables 9-11 to 9-34"
US,"6,900,748",CABAC,1,"7.2, 7.3.4, 7.3.5, 9.3, 9.3.2, 9.3.2.1, 9.3.2.2, 9.3.2.3, Fig. 9-1, Table 9-25"
US,"6,907,071",Intra prediction modes,1,"3.15, 3.65, 3.68, 3.77, 6.2, 7.4.2.2, 7.4.5, 8.3.1, 8.3.1.2, 8.3.2, 8.3.2.2, 8.3.3"
US,"6,909,450",NAL unit,1,"3.1, 3.14, 3.89. 3.90, 3.138, 3.142, 6.2, 6.3, 7.3.2.2, 7.3.3, 7.4.1, 7.4.1.2, 7.4.1.2.3, 7.4.2.2, 7.4.3, Fig. 6-7, Table 7-1"
US,"6,912,351",Predictive reference picture selection,12,"6.3, 7.3.3, 7.3.5.1, 7.4.3, 7.4.5, 7.4.5.1, 8, 8.4.2, 8.4.2.1, 8.5, Fig. 6-7, Tables 7-6, 7-13"
US,"6,912,584","I, P and SP slices",13,"3.59, 3.98, 3.121, 3.122, 3.123, 3.136, 3.142, 6.3, 7.3.3, 7.3.5.1, 7.4.3, 7.4.5.1, 8, 8.3, 8.4.1, 8.4.2, 8.4.2.1, 8.5, 9.1, Fig. 6-7, Tables 7-6, 7-13"
US,"6,931,158",Scaling and transformation,1,"3.14, 3.41, 3.44, 3.48, 3.49, 3.106, 3.158, 7.3.5.3, 7.3.5.3.1, 7.3.5.3.3, 8, 8.5.2, Fig. 8-6"
US,"6,934,331",Weighted sample prediction,5,"1, 3.121, 5.7, 7.3.2.2, 7.4.2.1.1, 7.4.2.2, 8, 8.4.2, 8.4.2.3, 8.4.2.3.2, 8.5.1, Annex A.2.1, A.2.2, A.2.3, A.2.4, A.2.5, A.2.6, A.2.7, G, G.1, G.3, G.3.12, G.3.14, G.3.47, G.3.48, G.7.3.1.1, G.7.3.2.1.1, G.7.3.2.2, G.7.3.4, G.7.4, G.8, G.7.4.1.1, G.7.4.2.2, G.7.4.3.2, G.7.4.3.4, G.8.4, G.8.4.2, G.8.4.2.1, G.10.1.1, G.10.1.2"
US,"6,943,710",CABAC,33,"7.2, 7.3.4, 7.3.5, 9.3, 9.3.1.1, 9.3.3.2, 9.3.3.2.1, Figs. 9-2, 9-3, Table 9-35, 9-44, Annex  G, G.7.2, G.7.3.4, G.7.3.5, G.9.3, G.9.3.1, G.9.3.3 "
US,"6,954,156",CABAC,1,"3.9, 3.12, 3.15, 3.77, 3.138, 3.151, 3.159, 7.3.3, 7.4.3, 9.3, 9.3.1.1, 9.3.3, 9.3.3.1, 9.3.3.2, 9.3.3.2.1, Fig. 9-1, 9-2, 9-3, Table 9-11 to 9-23"
US,"6,954,157",CAVLC,1,"3.153, 3.75, 7.3.5.3.1, 7.4.5.3.1, 9.2, 9.2.3, Table 9-10"
US,"6,967,600",CAVLC,1,"3.15, 3.75, 3.153, 7.3.5.3.1, 7.4.5.3.1, 9.2, 9.2.3, Table 9-10"
US,"6,967,601",CABAC,3,"9.3, 9.3.1.1, 9.3.3.2, 9.3.3.2.1, Figs. 9-1, 9-2, 9-3, Table 9-44 "
US,"6,980,596",Adaptive frame/field decoding,1,"3.14, 3.16, 3.17, 3.27, 3.43, 3.50, 3.51, 3.52, 3.55, 3.56, 3.57, 3.61, 3.77, 3.78, 3.81, 3.100, 3.138, 3.153, 3.154, 6.3, 6.4.9, 7.3.4, 7.4.4, 8, Figs. 6-8, 6-13"
US,"6,987,888",Inverse scanning,5,"3.14, 3.41, 3.43, 5.8, 7.4.2.2, 7.4.5, 8.5.3, 8.5.7, Fig. 8-9, Table 8-14"
US,"6,992,605",CAVLC,1,"3.15, 3.75, 3.153, 7.3.5.3.1, 7.4.5.3.1, 9.2, 9.2.2, 9.2.3, 9.2.4, Table 9-10"
US,"7,003,035",Direct mode,51,"0.1, 0.2, 3.4.5, 3.8, 3.13, 3.14, 3.41, 3.44, 3.102, 3.106, 3.111, 3.125, 3.126, 3.140, 7.2, 7.3.3, 7.3.5.2, 7.4.3, 7.4.5, 7.4.5.2, 8, 8.4, 8.4.1, 8.4.1.2, 8.4.1.2.1, 8.4.1.2.2, 8.4.1.2.3, 8.4.1.3, 8.4.1.3.2, 8.4.2, Fig. 8-2, Tables 7-10, 7-14, 7-18"
US,"7,010,035",Scaling matrix,1,"3.27, 3.41, 3.43, 3.48, 3.49, 3.71, 3.73, 3.104, 3.113, 3.129, 3.132, 3.155, 3.156, 7.3.2.1.1, 7.3.2.1.1.1, 7.3.5.3, 7.3.5.3.1, 7.3.5.3.2, 7.4.2.1.1, 7.4.2.1.1.1, 7.4.5.3, 7.4.5.3.1, 7.4.5.3.2, 8, 8.5.1, 8.5.6, 8.5.8, 8.5.11, 8.5.11.1, 9.2, Fig. 8-8, Tables 7-2, 7-3, 8-13"
US,"7,024,097",SEI message  ,1,"3.43, 7.4.1.2.3, 8, Annex D, D.1, D.1.2, D.2.2, E, E.1.1, E.2.1, Fig. 7-1"
US,"7,050,504",Deblocking filtering,6,"7.4.3, 8.7, 8.7.1, 8.7.2, 8.7.2.1, 8.7.2.2, 8.7.2.3, 8.7.2.4, Figs. 8-10, 8-11, Tables 8-16, 8-17"
US,"7,068,721",Sub-macroblock prediction,5,"3, 3.14, 3.15, 3.27, 3.33, 3.39, 3.44, 3.55, 3.66, 3.77, 3.78, 3.83, 3.98, 3.102, 3.109, 3.110, 3.125, 3.150, 6.3, 6.4.2, 6.4.11.7, 7.4.5, 7.4.5.1, 8.4, 8.4.1, 8.4.1.3, 8.4.1.3.1, 8.4.1.3.2, Figs. 6-7, 6-9, Tables 7-10, 7-13"
US,"7,088,269",CAVLC,1,"3.9, 3.12, 3.15, 3.75, 3.136, 3.149, 3.157, 7.3.3, 7.4.3, 9.3, 9.3.1.1, 9.3.3, 9.3.3.1, 9.3.3.2, 9.3.3.2.1, Figs. 9-1, 9-2, 9-3, Tables 9-11 to 9-23"
US,"7,088,271",CABAC,1,"3.9, 3.10, 3.11, 3.12, 3.149, 7.2, 7.3.4, 7.3.5, 9.3, 9.3.1.1, 9.3.2, 9.3.2.1, 9.3.2.2, 9.3.2.3, 9.3.3, 9.3.3.1, 9.3.3.2, 9.3.3.2.1, 9.3.3.2.3, Figs. 9-1, 9-2, 9-3, 9-5, Table 9-25 "
US,"7,095,344",CABAC,1,"3.136, 3.138, 6.3, 7.3.3, 7.3.4, 7.3.5, 7.4.1, 8.1, 8.2, 9.3, 9.3.1, 9.3.1.1, 9.3.3.2, Figs. 6-7, 9-1, 9-2, Tables 7-1, 9-11 to 9-24 "
US,"7,095,896",CAVLC,2,"6.4.8.3, 6.4.8.4, 7.3.5.3.1, 7.4.5.3, 7.4.5.3.1, 8.5.1, 9.2, 9.2.1, Table 9-5"
US,"7,106,795",Scaling ,1,"3.111, 3.130, 5.1, 5.4, 8, 8.5.5, 8.5.10"
US,"7,106,797",Scaling and transformation,1,"3.37, 3.41, 3.154, 7.3.5, 7.3.5.3, 7.4.5.3, 8, 8.5, 8.5.1, 8.5.2, 8.5.10, Table 7-15"
US,"7,109,898",CAVLC,5,"3.15, 3.43, 3.77, 3.155, 7.3.5.3.1, 7.4.3, 7.4.5, 7.4.5.3.1, 7.4.5.3.2, 8.5.1, 8.5.6, 8.5.11, 8.5.11.1, 9.2.2, 9.2.4, Fig. 8-8 "
US,"7,110,609",Scaling and transformation,1,"3.14, 3.41, 3.44, 3.48, 3.49, 3.106, 3.158, 7.3.5.3, 7.3.5.3.1, 7.3.5.3.3, 8, 8.5.2, Fig. 8-6"
US,"7,116,830",Intra prediction,12,"0.6, 3.66, 3.67, 6.4.8.3, 7.3.5.1, 7.4.5.1, 8.3, 8.3.1, 8.3.1.1, 8.3.1.2, 8.3.1.2.1, 8.3.1.2.2, Fig. 8-1, Table 8-2"
US,"7,120,197",Deblocking filtering,1,"8.4.2.1, 8.7, 8.7.2, 8.7.2.2, 8.7.2.3, 8.7.2.4, Figs. 8-10, 8-11"
US,"7,123,655",Scaling and transformation,1,"3.111, 3.130, 5.1, 5.4, 8, 8.5.5, 8.5.7, 8.5.10"
US,"7,126,989",Deblocking filtering,1,"3.14, 3.27, 3.37, 3.38, 3.41, 3.59, 3.98, 3.136, 3.138, 8.4, 8.4.2.1, 8.7,  8.7.2, 8.7.2.1, 8.7.2.3, 8.7.2.4, Fig. 8-10, Table 8-17"
US,"7,130,348",Scaling and transformation,1,"3.111, 3.130, 5.1, 5.4, 8, 8.5.5, 8.5.10"
US,"7,142,775",SEI message  ,11,"3.16, 3.43, 3.153, 7.4.1.2.3, 8, Annex D, D.1, D.1.2, D.2.2, E, E.1.1, E.2.1, Fig. 7-1"
US,"7,149,247",recovery_frame_cnt,8,"0.2, 3.41, 3.47, 3.112, D, D.1, D.1.7, D.2.7."
US,"7,155,055",Video usability information ,"1, 9","3.24, 3.55, 3.76, 6.2, E, E.1.1, E.2, E.2.1, Table E-5"
US,"7,162,091",DC Prediction modes,17,"3.15, 3.27, 3.37, 3.39, 3.41, 3.53, 3.54, 3.63, 3.64, 3.66, 3.67, 3.75, 3.85, 3.98, 3.102, 3.105, 3.106, 3.108, 3.119, 3.121, 3.136, 5.4, 7.3.2.1, 7.4.2.1, 8.3, 8.3.1, 8.3.1.1, 8.3.1.2, 8.3.1.2.3, 8.3.2, 8.3.2.1, 8.3.2.2, 8.3.2.2.4, 8.3.3, 8.3.3.3, 8.4, A.2.4, A.2.5, A.2.6, A.2.7, Tables 8-2, 8-3, 8-4"
US,"7,162,094",Inverse scanning,6,"3.14, 3.41, 3.43, 5.8, 7.4.5, 8.5.1, 8.5.6, Fig. 8-8, Table 8-13"
US,"7,167,591",SEI message ,1,"3.38, 3.63, 3.64, 3.102, 3.121, 3.122, 3.123, 7.3.3, 7.3.3.3, 7.4.3.3, 8.2.4, C.2, C.2.4.1, D.1.8, D.2.8, Table 7-9"
US,"7,167,633",SEI message  ,13,"3.43, 7.4.1.2.3, 8, Annex D, D.1, D.1.2, D.2.2, E, E.1.1, E.2.1, Fig. 7-1"
US,"7,170,942",Scaling and transformation,1,"3.113, 3.132, 5.1, 5.4, 8, 8.5.6, 8.5.8, 8.5.11, 8.5.11.1, 8.5.11.2"
US,"7,171,107",SEI message  ,1,"3.43, 7.4.1.2.3, 8, Annex D, D.1, D.1.2, D.2.2, E, E.1.1, E.2.1, Fig. 7-1"
US,"7,181,072",Intra sample prediction,10,"3.15, 3.24, 3.27, 3.39, 3.41, 3.43, 3.48, 3.49, 3.55, 3.56, 3.65, 3.66, 3.68, 3.69, 3.76, 3.77, 3.87, 3.100, 3.104, 3.107, 3.108, 3.110, 3.138, 3.121, 3.123, 5.4, 6.3, 7.3.2.1.1, 7.4.2.1.1, 7.4.2.2, 7.4.5, 8.3, 8.3.1, 8.3.1.1, 8.3.1.2, 8.3.1.2.3, 8.3.2, 8.3.2.1, 8.3.2.2, 8.3.2.2.4, 8.3.3, 8.3.3.3, 8.4, Figs. 6-7, 6-8, Tables 7-10, 7-11, 7-13, 8-2, 8-3, 8-4, Annex A"
US,"7,183,951",CABAC,1,"9.3, 9.3.3.2, 9.3.3.2.2, 9.3.3.2.4, Figs. 9-1, 9-2, 9-4, 9-6"
US,"7,184,598",CAVLC,1,"6.4.8.3, 6.4.8.4, 7.3.5.3.1, 7.4.5.3, 7.4.5.3.1, 8.5.1, 9.2, 9.2.1, Table 9-5 "
US,"7,190,289",CABAC,71,"3.138, 3.140, 6.3, 7.3.1, 7.3.3, 7.4.1, 8.1, 8.2, 9.3, 9.3.1, 9.3.1.1, 9.3.3.2, 9.3.3.2.1.1, Figs. 6-7, 9-1, 9-2, 9-3, Tables 7-1, 9-11"
US,"7,194,136",Scaling and transformation,6,"7.3.2.1.1, 7.3.2.1.1.1, 7.4.2.1.1, 8, 8.4, 8.5, 8.5.11, 8.5.12, Table 7-2 to 7-4"
US,"7,199,836",Alpha blending ,1,"1, 3.5, 3.7, 3.39, 3.40, 3.41, 3.43, 3.45, 3.67, 3.104, 3.111, 3.123, 3.124. 3.125, 6.1, 7.3.2.1.2, 7.3.3, 7.3.3.3, 7.4.2.1.2, 7.4.3.3, 8,  Annex A.2.1, A.2.2, A.2.3, A.2.4, A.2.5, A.2.6, A.2.7, C, Figs.: 7-1, C-2, Table 7-9"
US,"7,206,347",Decoded picture buffer,1,"3.14, 3.27, 3.37, 3.38, 3.41, 3.104, 3.121, 7.3.1, 7.4.1, C.4.5.2, C.4.5.3."
US,"7,209,520",IDR picture,1,"3.59, 3.64, 3.65, 3.66, 3.67, 3.68, 3.69, 3.123, 7.3.1, 7.4.1, 7.4.2.4, 7.4.3, 8.2.5.1, Tables 7-1, 7-5, 7-6"
US,"7,218,787",SEI message ,1,"3.38, 3.63, 3.64, 3.102, 3.121, 3.122, 3.123, 7.3.3, 7.3.3.3, 7.4.3.3, 8.2.4, C.2, C.2.4.1, D.1.8, D.2.8, Table 7-9"
US,"7,227,901",Deblocking filtering,16,"7.4.3, 8.7, 8.7.1, 8.7.2, 8.7.2.2, 8.7.2.3, Fig. 8-11, Tables 8-16, 8-17"
US,"7,233,621",Direct mode,1,"3.72, 3.102, 3.104, 8.2.4, 8.2.4.2.3, 8.2.4.2.4, 8.4.1.2, 8.4.1.2.1, 8.4.1.2.3, Table 8-6"
US,"7,239,662",Slice group map,"1, 20","0.6.3, 0.6.4, 3.77, 3.138, 3.140, 6.3, 7, 7.3.1, 7.3.2.8, 7.4.1, 8.2.2, 8.2.2.2, Figs. 6-7, 6-8, Table 7-1 "
US,"7,242,437",SEI message  ,19,"3.43, 7.4.1.2.3, 8, D, D.1.2, D.2.2 Fig. 7-1"
US,"7,245,773",SVC decoding,1,"Annex A.2.1, A.2.1.1, G, G.1, G.3, G.3.4, G.3.5, G.3.6, G.3.19, G.3.29, G.3.49, G.7.3.1.1, G.7.3.3.4, G.7.4.1.1, G.7.4.1.2.5, G.7.4.3, G.7.4.3.4, G.8, G.8.1.1, G.8.1.3.1, G.8.1.5.2, G.8.5.1, G.8.5.1.1, G.8.5.1.1.2, G.8.8.2, G.10.1.1, G.10.1.1.1 "
US,"7,248,740",NAL unit ,1,"3.14, 3.21, 3.41, 3.43, 3.47, 3.48, 3.49, 3.145, 6.1, 7.3.1, 7.4.1, 8, Annex: B, B.1, B.1.1, B.1.2, B.2"
US,"7,248,779",SEI message  ,21,"3.43, 7.4.1.2.3, 8, D, D.1,  D.1.2, D.2.2, E, E.1.1, E.2.1, Fig. 7-1"
US,"7,262,886",Deblocking filtering,1,"8.7, 8.7.2, 8.7.2.2, 8.7.2.3, Figs. 8-10, 8-11"
US,"7,263,232",Intra prediction,1,"3.15, 3.59, 3.67, 3.75, 3.127, 3.136, 8, 8.3, 8.3.1, 8.3.1.1, 8.3.1.2, 8.3.1.2.2, 8.3.1.2.4, 8.5.1, 8.5.5, Figs. 8-1, 8-8, Tables 8-2, 8-13"
